#SimulationArgs(mode=genetic-algorithm, inputFile=null, outputFilePath=./output.json, numberOfGenerations=50, populationSize=50, mutationRate=1.0, mutationProb=0.9, crossoverRate=0.5, elitismRate=0.1, reverseElitismN=0, tournamentSize=2, maxIterations=100, crossoverBlxAlpha=0.001, numberOfSimulationsPerFitness=30, typeOfReproduction=sexuado)
Best Fitness,Average Fitness,Worst Fitness,Standard Deviation,Best Parameters
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.91685|0.60736|0.57763|0.87931|0.31519|0.21459|0.89829)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.91685|0.60736|0.57763|0.87931|0.31519|0.21459|0.89829)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.06263|0.32334|0.49105|0.43546|0.57241|0.80835|0.24752)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.91685|0.60736|0.57763|0.87931|0.31519|0.21459|0.89829)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.36308|0.88784|0.38694|0.29373|0.20033|0.48501|0.02543)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.36308|0.88784|0.38694|0.29373|0.20033|0.48501|0.02543)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.43662|0.13696|0.37718|0.27875|0.54340|0.17502|0.10791)
